"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Alberta [48]","2016A000248","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44366238","33.58.1","9","","","","0"
"2018","Alberta [48]","2016A000248","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44366238","33.58.1","15","","","","0"
"2019","Alberta [48]","2016A000248","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44366238","33.58.1","25","","","","0"
"2020","Alberta [48]","2016A000248","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44366238","33.58.1","26","","","","0"
"2021","Alberta [48]","2016A000248","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44366238","33.58.1","38","","","","0"
"2017","Alberta [48]","2016A000248","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44388908","33.58.2","0.21","","","","2"
"2018","Alberta [48]","2016A000248","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44388908","33.58.2","0.35","","","","2"
"2019","Alberta [48]","2016A000248","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44388908","33.58.2","0.57","","","","2"
"2020","Alberta [48]","2016A000248","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44388908","33.58.2","0.59","","","","2"
"2021","Alberta [48]","2016A000248","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44388908","33.58.2","0.86","","","","2"
"2017","Alberta [48]","2016A000248","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44395443","33.58.3","-67.02","","","","2"
"2018","Alberta [48]","2016A000248","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44395443","33.58.3","64.45","","","","2"
"2019","Alberta [48]","2016A000248","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44395443","33.58.3","64.21","","","","2"
"2020","Alberta [48]","2016A000248","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44395443","33.58.3","2.65","","","","2"
"2021","Alberta [48]","2016A000248","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44395443","33.58.3","45.40","","","","2"
"2017","Alberta [48]","2016A000248","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000168879","33.58.15","7","","","","0"
"2018","Alberta [48]","2016A000248","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000168879","33.58.15","11","","","","0"
"2019","Alberta [48]","2016A000248","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000168879","33.58.15","7","","","","0"
"2020","Alberta [48]","2016A000248","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000168879","33.58.15","13","","","","0"
"2021","Alberta [48]","2016A000248","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000168879","33.58.15","16","","","","0"
